layer,fit_low,fit_high,se_low,se_high,diff,se_diff,lo95,hi95,lo80,hi80,panel
0,17.51662672466926,15.979673471782801,0.057764081179976993,0.0721730572346863,-1.5369532528864571,0.09244262688375032,-1.7181408015786077,-1.3557657041943065,-1.6552798152976576,-1.4186266904752567,OLMo-3 7B
1,16.2709483309268,14.446441102161852,0.05713347030135339,0.07132516457535214,-1.824507228764947,0.09138661023572708,-2.0036249848269723,-1.645389472702922,-1.9414820898666778,-1.7075323676632164,OLMo-3 7B
2,15.058757437803747,12.957346748230934,0.056719881932625615,0.07077240311514413,-2.1014106895728126,0.09069662644852593,-2.2791760774119236,-1.9236453017337019,-2.2175023714269257,-1.9853190077186995,OLMo-3 7B
3,13.913541545919522,11.556528425680073,0.05650811365775792,0.07049410030805837,-2.357013120239449,0.09034702589128589,-2.534093290986369,-2.1799329494925286,-2.472657313380295,-2.241368927098603,OLMo-3 7B
4,12.868788155893533,10.288124150199295,0.056458144517497415,0.07043543969818057,-2.5806640056942385,0.09027000192663483,-2.7575932094704427,-2.4037348019180342,-2.696209608160331,-2.465118403228146,OLMo-3 7B
5,11.957984768345195,9.19627193747863,0.05651204912581235,0.0705170046869826,-2.761712830866566,0.09036735940826286,-2.938832855306761,-2.584592806426371,-2.8773830509091423,-2.6460426108239896,OLMo-3 7B
6,11.214618883893918,8.325109803208106,0.05660382389104658,0.0706483409606535,-2.889509080685812,0.09052723877144032,-3.0669424686778353,-2.712075692693789,-3.005383946313256,-2.7736342150583684,OLMo-3 7B
7,10.672178003159114,7.71877576307775,0.05667129609056648,0.07074428981446297,-2.953402240081364,0.0906443067265528,-3.1310650812654077,-2.7757393988973207,-3.0694269526913516,-2.837377527471377,OLMo-3 7B
8,10.36396229411629,7.421130549058336,0.05666984920902126,0.07074368816038301,-2.942831745057953,0.09064293256457849,-3.120491892884527,-2.765171597231379,-3.0588546987406136,-2.8268087913752926,OLMo-3 7B
9,10.300604674827893,7.442483563090336,0.0565982720316704,0.07064487627982495,-2.8581211117375567,0.09052106352425791,-3.035542396245102,-2.6806998272300113,-2.973988073048607,-2.7422541504265063,OLMo-3 7B
10,10.448714892037641,7.727982533088449,0.056504716545417805,0.07051413287942086,-2.720732358949192,0.09036053301975723,-2.897839003667916,-2.543625714230468,-2.8363938412144813,-2.605070876683903,OLMo-3 7B
11,10.769844711103687,8.21528852654739,0.05643977112147973,0.07042116287409389,-2.554556184556297,0.09024737084693757,-2.7314410314162947,-2.3776713376962997,-2.670072819240377,-2.4390395498722173,OLMo-3 7B
12,11.225545897384192,8.842062610961877,0.05643406142717334,0.07040847559581964,-2.383483286422315,0.0902339000869025,-2.560341730592644,-2.2066248422519865,-2.4989826785335505,-2.26798389431108,OLMo-3 7B
13,11.777370216237316,9.545965853826623,0.056488251593514144,0.07047769837965649,-2.231404362410693,0.0903218054347121,-2.4084351010627287,-2.054373623758657,-2.3470162733671245,-2.1157924514542614,OLMo-3 7B
