Model,Parameter,Estimate,Est.Error,Q2.5,Q97.5,% > 0
OLMo-3 7B,Intercept,9.747500249913454,0.007448729357199556,9.732942574839944,9.761925814382634,100
OLMo-3 7B,c_log_freq,-0.09045713687875463,0.007942121916257676,-0.10619528963224681,-0.0748925488796262,0
OLMo-3 7B,c_log_predic,0.014022466660699872,0.007361700572835559,-3.579622384818814e-4,0.028361518652662846,97.2
OLMo-3 7B,c_log_freq:c_log_predic,-0.03208417282844322,0.007343059511656378,-0.04657342303287142,-0.0177715277658559,0
BabyLM 125M,Intercept,12.401392780802643,0.04474039059400809,12.315069773683,12.488699101754888,100
BabyLM 125M,c_log_freq,0.1483361861090392,0.04403985204581893,0.06306103148082103,0.23431822554611093,100
BabyLM 125M,c_log_ftp,-0.1934902587012449,0.04425761296001984,-0.2806518587742232,-0.10725860530965003,0
BabyLM 125M,c_log_freq:c_log_ftp,-0.06022189590461282,0.045428047874970026,-0.14808288761552646,0.030179754728149565,9.3
BabyLM 350M,Intercept,14.470882246514025,0.01563611334164497,14.4397636207249,14.501351620012164,100
BabyLM 350M,c_log_freq,-0.06531762150884518,0.015898517749807085,-0.09637479761172574,-0.033770731811542054,0
BabyLM 350M,c_log_ftp,0.04933916885342609,0.01576869314267172,0.018273689331397554,0.07986442168694648,99.9
BabyLM 350M,c_log_freq:c_log_ftp,-0.003177298674604055,0.016369488689971252,-0.03603562381248384,0.02937794035519341,43.2
BabyLM 1.3B,Intercept,17.53318789354194,0.03843144523547824,17.45882503304262,17.609644232907684,100
BabyLM 1.3B,c_log_freq,-0.039079047171519415,0.03820481898291874,-0.11303425726783568,0.03573677854988624,15.5
BabyLM 1.3B,c_log_ftp,-0.027044940072081445,0.038282191948089676,-0.10157973299463714,0.04749141807115538,23.9
BabyLM 1.3B,c_log_freq:c_log_ftp,-0.0012277008496095216,0.04038220810826677,-0.08128000104027124,0.07814872273865643,48.7
